Date1,Temp1,,,,,,,,,,,,,,
11/1/2011,7.4,,,,,,,,,,,,,,
12/1/2011,2.7,,,,,,,,,,,,,,
1/1/2012,3,,,,,,,,,,,,,,
2/1/2012,4.4,,,,,,,,,,,,,,
3/1/2012,6.8,,,,,,,,,,,,,,
4/1/2012,4.5,,,,,,,,,,,,,,
5/1/2012,8.1,,,,,,,,,,,,,,
6/1/2012,9.9,,,,,,,,,,,,,,
7/1/2012,11.7,,,,,,,,,,,,,,
8/1/2012,13,,,,,,,,,,,,,,
9/1/2012,9.9,,,,,,,,,,,,,,
10/1/2012,9.9,,,,,,,,,,,,,,
11/1/2012,5.7,,,,,,,,,,,,,,
12/1/2012,4.2,,,,,,,,,,,,,,
1/1/2013,2.9,,,,,,,,,,,,,,
2/1/2013,2.1,,,,,,,,,,,,,,
3/1/2013,1.4,,,,,,,,,,,,,,
4/1/2013,4.3,,,,,,,,,,,,,,
5/1/2013,7.8,,,,,,,,,,,,,,
6/1/2013,11.1,,,,,,,,,,,,,,
7/1/2013,14.5,,,,,,,,,,,,,,
8/1/2013,13.2,,,,,,,,,,,,,,
9/1/2013,10.7,,,,,,,,,,,,,,
10/1/2013,8.8,,,,,,,,,,,,,,
11/1/2013,4.2,,,,,,,,,,,,,,
12/1/2013,4.8,,,,,,,,,,,,,,
1/1/2014,3.3,,,,,,,,,,,,,,
2/1/2014,3.5,,,,,,,,,,,,,,
3/1/2014,5.2,,,,,,,,,,,,,,
4/1/2014,7.7,,,,,,,,,,,,,,
5/1/2014,9.2,,,,,,,,,,,,,,
6/1/2014,12.4,,,,,,,,,,,,,,
7/1/2014,14.1,,,,,,,,,,,,,,
8/1/2014,11.8,,,,,,,,,,,,,,
9/1/2014,12.1,,,,,,,,,,,,,,
10/1/2014,8.6,,,,,,,,,,,,,,
11/1/2014,6.1,,,,,,,,,,,,,,
12/1/2014,3.1,,,,,,,,,,,,,,
1/1/2015,2.4,,,,,,,,,,,,,,
2/1/2015,3,,,,,,,,,,,,,,
3/1/2015,4.1,,,,,,,,,,,,,,
4/1/2015,6.1,,,,,,,,,,,,,,
5/1/2015,6.9,,,,,,,,,,,,,,
6/1/2015,9.8,,,,,,,,,,,,,,
7/1/2015,11.8,,,,,,,,,,,,,,
8/1/2015,12.6,,,,,,,,,,,,,,
9/1/2015,10.6,,,,,,,,,,,,,,
10/1/2015,8.7,,,,,,,,,,,,,,
11/1/2015,5.9,,,,,,,,,,,,,,
12/1/2015,4.8,,,,,,,,,,,,,,
1/1/2016,2.7,,,,,,,,,,,,,,
2/1/2016,1.9,,,,,,,,,,,,,,
3/1/2016,4.4,,,,,,,,,,,,,,
4/1/2016,4.8,,,,,,,,,,,,,,
5/1/2016,9.2,,,,,,,,,,,,,,
6/1/2016,11.8,,,,,,,,,,,,,,
7/1/2016,12.5,,,,,,,,,,,,,,
8/1/2016,12.8,,,,,,,,,,,,,,
9/1/2016,12.2,,,,,,,,,,,,,,
10/1/2016,8.1,,,,,,,,,,,,,,
11/1/2016,3.5,,,,,,,,,,,,,,
12/1/2016,5.5,,,,,,,,,,,,,,
1/1/2017,3.8,,,,,,,,,,,,,,
2/1/2017,3.7,,,,,,,,,,,,,,
3/1/2017,4.9,,,,,,,,,,,,,,
4/1/2017,6.3,,,,,,,,,,,,,,
5/1/2017,10.2,,,,,,,,,,,,,,
6/1/2017,11.5,,,,,,,,,,,,,,
7/1/2017,12.4,,,,,,,,,,,,,,
8/1/2017,12.5,,,,,,,,,,,,,,
9/1/2017,11,,,,,,,,,,,,,,
10/1/2017,9.2,,,,,,,,,,,,,,
11/1/2017,3.9,,,,,,,,,,,,,,
